"TargetModule","Coverage"
"simple_programs.calculator","1.0"
"simple_programs.calculator","1.0"
"simple_programs.calculator","1.0"
"simple_programs.calculator","1.0"
"simple_programs.calculator","1.0"
"simple_programs.calculator","1.0"
"simple_programs.calculator","1.0"
"simple_programs.calculator","1.0"
"simple_programs.calculator","1.0"
"simple_programs.calculator","1.0"
"simple_programs.calculator","1.0"
"simple_programs.calculator","1.0"
"simple_programs.operations","1.0"
"simple_programs.operations","1.0"
"simple_programs.operations","1.0"
"simple_programs.calculator","1.0"
"simple_programs.operations","1.0"
"simple_programs.calculator","1.0"
